Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
New Test Suite,Chrome 125.0.0.0,,,13-06-2024 14:36:53,13-06-2024 14:43:47,6m - 54.763s,FAILED
,,,,,,,
Test Cases/CAR/CAR HOME,Chrome 125.0.0.0,,,13-06-2024 14:36:53,13-06-2024 14:37:10,17.234s,PASSED
"openBrowser("""")",Chrome 125.0.0.0,,,13-06-2024 14:36:53,13-06-2024 14:36:55,1.845s,PASSED
"navigateToUrl(""https://www.icar.org.in/"")",Chrome 125.0.0.0,,,13-06-2024 14:36:55,13-06-2024 14:37:05,9.904s,PASSED
"click(findTestObject(""Object Repository/CAR HOMEPAGE/Page_Home  Indian Council of Agricultural R_06e979/span_Ministry of Agriculture and Farmers We_4c7543""))",Chrome 125.0.0.0,,,13-06-2024 14:37:05,13-06-2024 14:37:05,0.474s,PASSED
"click(findTestObject(""Object Repository/CAR HOMEPAGE/Page_Home  Indian Council of Agricultural R_06e979/a_Home""))",Chrome 125.0.0.0,,,13-06-2024 14:37:05,13-06-2024 14:37:06,0.424s,PASSED
"click(findTestObject(""Object Repository/CAR HOMEPAGE/Page_Home  Indian Council of Agricultural R_06e979/a_View All""))",Chrome 125.0.0.0,,,13-06-2024 14:37:06,13-06-2024 14:37:07,1.301s,PASSED
"click(findTestObject(""Object Repository/CAR HOMEPAGE/Page_Latest Updates  ICAR/a_Tenders""))",Chrome 125.0.0.0,,,13-06-2024 14:37:07,13-06-2024 14:37:08,1.237s,PASSED
closeBrowser(),Chrome 125.0.0.0,,,13-06-2024 14:37:08,13-06-2024 14:37:10,1.776s,PASSED
,,,,,,,
Test Cases/CAR/CAR HOME,Chrome 125.0.0.0,,,13-06-2024 14:37:10,13-06-2024 14:37:25,14.929s,PASSED
"openBrowser("""")",Chrome 125.0.0.0,,,13-06-2024 14:37:10,13-06-2024 14:37:11,0.848s,PASSED
"navigateToUrl(""https://www.icar.org.in/"")",Chrome 125.0.0.0,,,13-06-2024 14:37:11,13-06-2024 14:37:20,9.108s,PASSED
"click(findTestObject(""Object Repository/CAR HOMEPAGE/Page_Home  Indian Council of Agricultural R_06e979/span_Ministry of Agriculture and Farmers We_4c7543""))",Chrome 125.0.0.0,,,13-06-2024 14:37:20,13-06-2024 14:37:20,0.351s,PASSED
"click(findTestObject(""Object Repository/CAR HOMEPAGE/Page_Home  Indian Council of Agricultural R_06e979/a_Home""))",Chrome 125.0.0.0,,,13-06-2024 14:37:20,13-06-2024 14:37:21,0.858s,PASSED
"click(findTestObject(""Object Repository/CAR HOMEPAGE/Page_Home  Indian Council of Agricultural R_06e979/a_View All""))",Chrome 125.0.0.0,,,13-06-2024 14:37:21,13-06-2024 14:37:22,0.812s,PASSED
"click(findTestObject(""Object Repository/CAR HOMEPAGE/Page_Latest Updates  ICAR/a_Tenders""))",Chrome 125.0.0.0,,,13-06-2024 14:37:22,13-06-2024 14:37:24,1.490s,PASSED
closeBrowser(),Chrome 125.0.0.0,,,13-06-2024 14:37:24,13-06-2024 14:37:25,1.431s,PASSED
,,,,,,,
Test Cases/CAR ABOUT US,Chrome 125.0.0.0,,,13-06-2024 14:37:25,13-06-2024 14:37:39,14.286s,PASSED
"openBrowser("""")",Chrome 125.0.0.0,,,13-06-2024 14:37:25,13-06-2024 14:37:26,0.860s,PASSED
"navigateToUrl(""https://www.icar.org.in/"")",Chrome 125.0.0.0,,,13-06-2024 14:37:26,13-06-2024 14:37:36,9.902s,PASSED
"click(findTestObject(""Object Repository/CAR ABOUT US/Page_Home  Indian Council of Agricultural R_06e979/button_Ministry of Agriculture and Farmers _55e648""))",Chrome 125.0.0.0,,,13-06-2024 14:37:36,13-06-2024 14:37:36,0.348s,PASSED
"click(findTestObject(""Object Repository/CAR ABOUT US/Page_Home  Indian Council of Agricultural R_06e979/a_About Us""))",Chrome 125.0.0.0,,,13-06-2024 14:37:36,13-06-2024 14:37:37,0.490s,PASSED
"click(findTestObject(""Object Repository/CAR ABOUT US/Page_About Us  ICAR/a_Vision Documents""))",Chrome 125.0.0.0,,,13-06-2024 14:37:37,13-06-2024 14:37:38,0.888s,PASSED
closeBrowser(),Chrome 125.0.0.0,,,13-06-2024 14:37:38,13-06-2024 14:37:39,1.698s,PASSED
,,,,,,,
Test Cases/CAR DIVISIONS,Chrome 125.0.0.0,,,13-06-2024 14:38:15,13-06-2024 14:38:28,12.519s,FAILED
"openBrowser("""")",Chrome 125.0.0.0,,,13-06-2024 14:38:15,13-06-2024 14:38:17,1.868s,PASSED
"navigateToUrl(""https://www.icar.org.in/"")",Chrome 125.0.0.0,,,13-06-2024 14:38:17,13-06-2024 14:38:28,10.468s,PASSED
"click(findTestObject(""null""))",Chrome 125.0.0.0,,,13-06-2024 14:38:28,13-06-2024 14:38:28,0.161s,FAILED
,,,,,,,
